activation,cost,optimizer,lr,batch,train_acc,val_acc,best_val_acc,best_epoch,final_train_loss,seconds
sigmoid,MSE,GD,0.01,2386,0.020117351785302162,0.017578125,0.017578125,1,0.9848606,0.15581209998345003
sigmoid,MSE,GD,0.1,2386,0.02388935536146164,0.0234375,0.0234375,96,0.98408955,0.1573015000030864
sigmoid,MSE,SGD,0.001,32,0.021793797612190247,0.021484375,0.021484375,96,0.9842379,6.139903600007528
sigmoid,MSE,SGD,0.001,128,0.02053646370768547,0.017578125,0.017578125,1,0.9847385,1.6455662999942433
sigmoid,MSE,SGD,0.001,512,0.02053646370768547,0.017578125,0.017578125,1,0.9849371,0.4738041000091471
sigmoid,MSE,SGD,0.01,32,0.08382229506969452,0.068359375,0.068359375,83,0.98241675,6.000575799989747
sigmoid,MSE,SGD,0.01,128,0.03352892026305199,0.025390625,0.029296875,64,0.9837154,1.5283084000111558
sigmoid,MSE,SGD,0.01,512,0.021793797612190247,0.017578125,0.017578125,1,0.98442197,0.45623959999647923
sigmoid,MSE,SGD,0.1,32,0.4698239862918854,0.455078125,0.45703125,99,0.74208766,5.835316000011517
sigmoid,MSE,SGD,0.1,128,0.1001676470041275,0.103515625,0.11328125,82,0.9794585,1.5141907000215724
sigmoid,MSE,SGD,0.1,512,0.06286672502756119,0.052734375,0.052734375,98,0.9829437,0.467681599984644
sigmoid,MSE,SGD+momentum,0.001,32,0.08214585483074188,0.06640625,0.0703125,88,0.9824186,6.014235699985875
sigmoid,MSE,SGD+momentum,0.001,128,0.03227158263325691,0.025390625,0.029296875,64,0.9837171,1.5525224000157323
sigmoid,MSE,SGD+momentum,0.001,512,0.021793797612190247,0.017578125,0.017578125,1,0.9844272,0.47220230000675656
sigmoid,MSE,SGD+momentum,0.01,32,0.4664710760116577,0.4453125,0.453125,99,0.7454698,6.466465100005735
sigmoid,MSE,SGD+momentum,0.01,128,0.09471919387578964,0.09375,0.1171875,84,0.9794967,1.667570199992042
sigmoid,MSE,SGD+momentum,0.01,512,0.06412405520677567,0.052734375,0.052734375,99,0.98296124,0.5016083999944385
sigmoid,MSE,SGD+momentum,0.1,32,0.9744341969490051,0.744140625,0.7714844,60,0.03765292,6.38478560000658
sigmoid,MSE,SGD+momentum,0.1,128,0.8780385851860046,0.740234375,0.7519531,88,0.19538775,1.7159209999954328
sigmoid,MSE,SGD+momentum,0.1,512,0.14417435228824615,0.134765625,0.140625,99,0.94315803,0.5333930999913719
sigmoid,MSE,Adam,0.001,32,0.9891030788421631,0.75390625,0.7753906,59,0.014890631,7.383021799993003
sigmoid,MSE,Adam,0.001,128,0.9765297770500183,0.763671875,0.7734375,55,0.036056682,1.888572199997725
sigmoid,MSE,Adam,0.001,512,0.9518021941184998,0.763671875,0.7675781,89,0.08973992,0.5538220000162255
sigmoid,MSE,Adam,0.01,32,0.9480301737785339,0.716796875,0.7480469,33,0.082681306,7.337887499976205
sigmoid,MSE,Adam,0.01,128,0.9895222187042236,0.75390625,0.78515625,20,0.013357546,1.9086063000140712
sigmoid,MSE,Adam,0.01,512,0.9911986589431763,0.763671875,0.78515625,25,0.011285509,0.5403998999972828
sigmoid,MSE,Adam,0.1,32,0.015926236286759377,0.017578125,0.017578125,1,1.9681475,7.301770699996268
sigmoid,MSE,Adam,0.1,128,0.016345348209142685,0.015625,0.015625,1,1.9673094,1.840874999994412
sigmoid,MSE,Adam,0.1,512,0.02975691482424736,0.021484375,0.05859375,1,1.4660562,0.580712199996924
